DisplineID:ID,DisplineName,:LABEL
1,哲学,First-level discipline
101,哲学,First-level discipline
2,经济学,First-level discipline
201,理论经济学,First-level discipline
202,应用经济学,First-level discipline
3,法学,First-level discipline
301,法学,First-level discipline
302,政治学,First-level discipline
303,社会学,First-level discipline
304,民族学,First-level discipline
305,马克思主义理论,First-level discipline
4,教育学,First-level discipline
401,教育学,First-level discipline
402,心理学,First-level discipline
403,体育学,First-level discipline
5,文学,First-level discipline
501,中国语言文学,First-level discipline
502,外国语言文学,First-level discipline
503,新闻传播学,First-level discipline
504,艺术学,First-level discipline
6,历史学,First-level discipline
601,历史学,First-level discipline
7,理学,First-level discipline
701,数学,First-level discipline
702,物理学,First-level discipline
703,化学,First-level discipline
704,天文学,First-level discipline
705,地理学,First-level discipline
706,大气科学,First-level discipline
707,海洋科学,First-level discipline
708,地球物理学,First-level discipline
709,地质学,First-level discipline
710,生物学,First-level discipline
711,系统科学,First-level discipline
8,工学,First-level discipline
801,力学,First-level discipline
802,机械工程,First-level discipline
804,仪器科学与技术,First-level discipline
805,材料科学与工程,First-level discipline
806,冶金工程,First-level discipline
807,动力工程及工程热物理,First-level discipline
808,电气工程,First-level discipline
809,电子科学与技术,First-level discipline
810,信息与通讯工程,First-level discipline
811,控制科学与工程,First-level discipline
812,计算机科学与技术,First-level discipline
813,建筑学,First-level discipline
814,土木工程,First-level discipline
815,水利工程,First-level discipline
816,测绘科学与技术,First-level discipline
817,化学工程与技术,First-level discipline
818,地质资源与地质工程,First-level discipline
819,矿业工程,First-level discipline
820,石油与天然气工程,First-level discipline
821,纺织科学与工程,First-level discipline
822,轻工技术与工程,First-level discipline
823,交通运输工程,First-level discipline
824,船舶与海洋工程,First-level discipline
825,航空宇航科学与技术,First-level discipline
826,兵器科学与技术,First-level discipline
827,核科学与技术,First-level discipline
828,农业工程,First-level discipline
829,林业工程,First-level discipline
830,环境科学与工程,First-level discipline
832,食品科学与工程,First-level discipline
9,农学,First-level discipline
901,作物学,First-level discipline
902,园艺学,First-level discipline
903,农业资源与环境,First-level discipline
904,植物保护,First-level discipline
905,畜牧学,First-level discipline
906,兽医学,First-level discipline
907,林学,First-level discipline
908,水产,First-level discipline
10,医学,First-level discipline
1001,基础医学,First-level discipline
1002,临床医学,First-level discipline
1003,口腔医学,First-level discipline
1004,公共卫生与预防医学,First-level discipline
1005,中医学,First-level discipline
1006,中西医结合,First-level discipline
1007,药学,First-level discipline
11,军事学,First-level discipline
1101,军事思想及军事历史,First-level discipline
1102,战略学,First-level discipline
1103,战役学,First-level discipline
1104,战术学,First-level discipline
1105,军队指挥学,First-level discipline
1106,军制学,First-level discipline
1108,军事后勤学与军事装备学,First-level discipline
12,管理学,First-level discipline
1202,工商管理,First-level discipline
1203,农林经济管理,First-level discipline
1204,公共管理,First-level discipline
1205,图书情报与档案管理,First-level discipline
13,实验班,First-level discipline
1301,文科实验班,First-level discipline
1302,理科实验班,First-level discipline
1303,工科实验班,First-level discipline
1304,all,First-level discipline
14,xx学院,First-level discipline
1401,弘毅学堂,First-level discipline
1402,茅以升学院,First-level discipline
1403,徐特立英才班,First-level discipline
