0,1
哲学,哲学
经济学,理论经济学
经济学,应用经济学
法学,法学
法学,政治学
法学,社会学
法学,民族学
法学,马克思主义理论
法学,公安学
教育学,教育学
教育学,心理学
教育学,体育学
文学,中国语言文学
文学,外国语言文学
文学,新闻传播学
历史学,考古学
历史学,中国史
历史学,世界史
理学,数学
理学,物理学
理学,化学
理学,天文学
理学,地理学
理学,大气科学
理学,海洋科学
理学,地球物理学
理学,地质学
理学,生物学
理学,系统科学
理学,科学技术史
理学,生态学
理学,统计学
工学,力学
工学,机械工程
工学,光学工程
工学,仪器科学与技术
工学,材料科学与工程
工学,冶金工程
工学,动力工程及工程热物理
工学,电气工程
工学,电子科学与技术
工学,信息与通信工程
工学,控制科学与工程
工学,计算机科学与技术
工学,建筑学
工学,土木工程
工学,水利工程
工学,测绘科学与技术
工学,化学工程与技术
工学,地质资源与地质工程
工学,矿业工程
工学,石油与天然气工程
工学,纺织科学与工程
工学,轻工技术与工程
工学,交通运输工程
工学,船舶与海洋工程
工学,航空宇航科学与技术
工学,兵器科学与技术
工学,核科学与技术
工学,农业工程
工学,林业工程
工学,环境科学与工程
工学,生物医学工程
工学,食品科学与工程
工学,城乡规划学
工学,风景园林学
工学,软件工程
工学,生物工程
工学,安全科学与工程
工学,公安技术
工学,网络空间安全
农学,作物学
农学,园艺学
农学,农业资源利用
农学,植物保护
农学,畜牧学
农学,兽医学
农学,林学
农学,水产
农学,草学
医学,基础医学
医学,临床医学
医学,口腔医学
医学,公共卫生与预防医学
医学,中医学
医学,中西医结合
医学,药学
医学,中药学
医学,特种医学
医学,医学技术
医学,护理学
军事学,军事思想及军事历史
军事学,战略学
军事学,战役学
军事学,战术学
军事学,军队指挥学
军事学,军制学
军事学,军队政治工作学
军事学,军事后勤学
军事学,军事装备学
军事学,军事训练学
管理学,管理科学与工程
管理学,工商管理
管理学,农林经济管理
管理学,公共管理
管理学,图书情报与档案管理
管理学,物流管理与工程
管理学,工业工程
管理学,电子商务
管理学,旅游管理
艺术学,艺术学理论
艺术学,音乐与舞蹈学
艺术学,戏剧与影视学
艺术学,美术学
艺术学,设计学
